regionName,statename,StateCodeFIPs,JulyValue16,JulyValue17,Julyvalue18,Julyvalue19,Julyvalue20,Julyvalue21,JanValue22,Febvalue22,MarValue22,AprValue22,MayValue22,JunValue22,JulyValue22,2020HousingUnits,2021HousingUnits,pop20,pop21,Unemployment_rate_2016,unemployment_rate_2017,unemployment_rate_2018,unemployment_rate_2019,unemployment_rate_2020,unemployment_rate_2021,MedHHIncome2020,MedHHIncomePercent2020
Tioga County,NY,36,117694,123459,130500,135875,139752,152516,162331,164885,165079,165245,165767,166861,167995,21793,21918,48355,47980,5.2,5.1,4.3,4,7.5,4.4,"62,400",85.1
Chenango County,NY,36,95791,99491,103953,107553,111168,122382,130787,132812,132993,133236,133690,134525,135254,24248,24421,47073,46537,5.1,5.3,4.6,4.3,6.6,4.4,"52,545",71.6
Montgomery County,NY,36,104264,109568,114651,118231,122794,136206,145774,148287,148462,148596,149225,150483,151838,22863,22892,49433,49558,5.8,5.7,5.1,4.9,8.4,5.7,"52,482",71.5
Cortland County,NY,36,113773,120233,126957,131948,135996,147261,156746,159188,159348,159588,159773,160536,161268,20814,20836,46723,46311,5.8,5.8,5.1,4.7,7.7,5.1,"60,165",82
Greene County,NY,36,183214,188133,196384,202891,199771,260350,281154,275764,271795,278092,283004,286582,290295,28939,28993,47890,48499,5.1,5.2,4.5,4.3,8,4.9,"60,163",82
Allegany County,NY,36,65191,69509,74604,78241,80773,88322,93824,95366,95440,95585,96029,96845,97692,23461,23505,46373,46106,6.4,6.6,5.6,5.3,7.7,5,"53,371",72.8
Delaware County,NY,36,139111,143465,149061,153299,156485,172878,185266,188374,188609,188783,189413,190783,192105,29963,30014,44186,44378,5.6,5.5,4.8,4.5,7,4.6,"54,440",74.2
Orleans County,NY,36,93888,99825,106352,111999,115974,127254,135975,138225,138473,138781,139603,140953,142326,18219,18245,40236,40191,5.8,5.9,4.9,4.5,8.1,5.2,"57,318",78.1
Wyoming County,NY,36,108322,114360,121267,127057,132334,145106,155416,157939,158139,158520,159454,160544,161535,18240,18275,40401,40491,5.4,5.6,4.6,4.2,7.2,4.5,"59,612",81.3
Essex County,NY,36,136981,142384,149231,154658,159621,174816,184709,187946,188343,188668,188648,189319,190008,25143,25236,37336,37268,5.4,5.4,4.8,4.5,7.9,4.7,"57,129",77.9
Seneca County,NY,36,105395,112230,119749,126123,131856,144998,155112,157670,157798,157955,158323,159379,160311,16103,16151,33715,33688,4.8,4.5,3.8,3.7,7.8,4.7,"56,929",77.6
Schoharie County,NY,36,133046,137931,143726,148017,152384,166526,177493,180375,180596,180857,181801,183032,184214,16455,16498,29720,29863,5.5,5.4,4.8,4.5,6.8,4.5,"59,744",81.4
Lewis County,NY,36,112550,118663,124868,129133,132697,144494,153533,155957,156113,156373,157174,158035,158793,15477,15558,26538,26573,6.8,6.6,5.5,5.3,7.5,5,"57,897",78.9
