CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
17140,,39015,"Brown County, OH",County or equivalent,44846,44826,44863,44629,44281,44111,43933,43697,43638,43523,43570,43432,43676,43629,43662
10100,,46013,"Brown County, SD",County or equivalent,36531,36532,36653,36925,37569,38136,38255,38400,38900,39290,39145,38839,38301,38210,38101
15220,,48049,"Brown County, TX",County or equivalent,38106,38106,38076,38000,37808,37671,37553,37736,38039,37815,37820,37864,38095,38002,38192
24580,,55009,"Brown County, WI",County or equivalent,248007,248003,248476,250481,252682,254211,256202,257856,259514,261762,263165,264542,268740,268741,269591
34820,,37019,"Brunswick County, NC",County or equivalent,107431,107429,108069,110185,112013,114922,118305,122211,126304,130859,136880,142820,136693,138084,144215
42340,,13029,"Bryan County, GA",County or equivalent,30233,30215,30377,31267,32251,33034,33664,34792,35839,36999,38059,39627,44738,44999,46938
20460,,40013,"Bryan County, OK",County or equivalent,42416,42416,42580,43120,43453,44118,44483,45021,45599,46481,47191,47995,46067,46293,47105
41140,,29021,"Buchanan County, MO",County or equivalent,89201,89191,89072,89728,89930,89826,89600,89082,89032,88660,88163,87364,84793,84615,83853
37980,33874,42017,"Bucks County, PA",County or equivalent,625249,625256,625385,625938,625346,625012,625253,625276,625861,626811,627812,628270,646538,646008,646098
44740,,19021,"Buena Vista County, IA",County or equivalent,20260,20265,20356,20311,20561,20649,20606,20374,20325,20144,19826,19620,20823,20776,20771
28260,,31019,"Buffalo County, NE",County or equivalent,46102,46099,46175,46824,47637,47999,48200,48578,49104,49350,49352,49659,50084,50129,50339
31140,,21029,"Bullitt County, KY",County or equivalent,74319,74308,74500,75195,75902,76878,78023,78677,79222,80269,81009,81676,82217,82293,82918
44340,,13031,"Bulloch County, GA",County or equivalent,70217,70243,70559,72637,73102,71816,72651,73116,74642,75991,77242,79608,81099,81378,82442
11700,,37021,"Buncombe County, NC",County or equivalent,238318,238330,238738,241172,243655,246807,249084,251954,254955,257071,259259,261191,269452,269621,271534
36837,,17011,"Bureau County, IL",County or equivalent,34978,34980,34959,34625,34342,34108,33856,33491,33396,33137,32959,32628,33244,33118,32883
12260,,13033,"Burke County, GA",County or equivalent,23316,23326,23336,23506,23048,22824,22621,22632,22601,22545,22439,22383,24596,24621,24310
25860,,37023,"Burke County, NC",County or equivalent,90912,90837,90580,90542,89974,89354,89296,89341,89451,90157,90405,90485,87570,87546,87611
13900,,38015,"Burleigh County, ND",County or equivalent,81308,81308,81701,83295,85748,88422,90510,93211,94606,95247,95276,95626,98458,98467,98933
17780,,48051,"Burleson County, TX",County or equivalent,17187,17187,17237,17328,17433,17269,17387,17611,17848,18053,18335,18443,17642,17644,18051
37980,15804,34005,"Burlington County, NJ",County or equivalent,448734,448730,449129,450187,450522,448824,448168,446832,445972,445610,444745,445349,461860,461862,464269
48620,,20015,"Butler County, KS",County or equivalent,65880,65884,65901,65838,65669,65671,65861,66249,66652,66845,66833,66911,67380,67401,67889
14540,,21031,"Butler County, KY",County or equivalent,12690,12697,12735,12718,12738,12704,12736,12734,12686,12778,12743,12879,12371,12318,12294
38740,,29023,"Butler County, MO",County or equivalent,42794,42792,42786,42990,42986,42961,42849,42829,42769,42618,42587,42478,42130,42007,42101
17140,,39017,"Butler County, OH",County or equivalent,368130,368136,369102,370123,370550,371395,373750,375998,378354,380607,382000,383134,390357,390600,390234
38300,,42019,"Butler County, PA",County or equivalent,183862,183880,184115,184687,184929,185103,185778,185936,186240,186828,187638,187853,193763,193851,194273
