,RegionID,RegionName,Statename,julyvalue16,julyvalue17,julyvalue18,julyvalue19,julyvalue20,julyvalue21,Janvalue22,febvalue22,marchvalue22,aprvalue22,mayvalue22,junevalue22,julyvalue22,JulyListings22,JulyInv22,pop20,PopMale20,PopFemale20,MedianAge20,MedianAgeMale20,medianAgeFemale20,pop21,PopMale21,PopFemale21,MedianAgeMale21,MedianAgeFemale21,MedianAge21,StateCode
50,394354,"Austin, MN",MN,106302,112520,118254,124472,136211,155560,167883,169707,171145,172936,174568,176254,177537,59.0,108,40049.0,20231.0,19818.0,38.6,37.7,39.5,40158.0,20264.0,19894.0,37.9,39.5,38.7,10
51,394355,"Austin, TX",TX,287932,302906,315258,329805,347665,492215,553853,567554,579113,588413,594638,591639,582073,4071.0,9963,2299125.0,1158608.0,1140517.0,35.5,35.2,35.9,2352426.0,1185819.0,1166607.0,35.5,36.2,35.9,2
52,394356,"Bainbridge, GA",GA,92045,94963,99401,103499,105893,119272,127948,131603,133009,134634,135463,137686,139807,21.0,68,29338.0,14343.0,14995.0,38.5,36.9,39.9,29038.0,14241.0,14797.0,36.6,40.3,38.5,7
53,394357,"Bakersfield, CA",CA,196478,203050,215925,226279,238758,285243,311922,316480,322525,328273,332725,336408,339654,1008.0,2194,909997.0,467402.0,442595.0,32.2,31.8,32.6,917673.0,471601.0,446072.0,32.0,32.8,32.4,25
54,394358,"Baltimore, MD",MD,275230,283689,292812,297310,302963,344784,359796,363099,367086,370844,373735,375917,377480,4041.0,7682,2841691.0,1377005.0,1464686.0,38.8,37.5,40.0,2838327.0,1374362.0,1463965.0,37.7,40.1,38.9,26
55,394359,"Bangor, ME",ME,141094,145601,152013,157258,164844,208305,225319,229343,230860,235486,236654,241391,243076,226.0,455,152007.0,75829.0,76178.0,42.3,40.7,43.8,152765.0,76175.0,76590.0,40.8,43.8,42.3,24
56,394360,"Baraboo, WI",WI,162214,171001,186985,200469,209119,226867,245324,246797,250291,254184,259495,263162,266782,81.0,194,65718.0,32994.0,32724.0,41.3,40.5,42.3,65697.0,32960.0,32737.0,40.8,42.4,41.6,17
57,394361,"Barnstable Town, MA",MA,394957,414277,433531,446362,453631,585817,642620,648383,658507,669959,681621,689113,695276,514.0,1010,228969.0,110354.0,118615.0,54.4,52.3,56.1,232411.0,112095.0,120316.0,52.7,56.5,54.6,27
58,394362,"Barre, VT",VT,214169,220077,231088,235314,236566,285617,308603,315043,322075,322108,320209,325300,338507,76.0,126,59748.0,29882.0,29866.0,43.5,41.7,45.2,59969.0,30003.0,29966.0,41.8,45.2,43.5,28
59,394363,"Bartlesville, OK",OK,106775,104333,111712,117501,120378,131886,144949,146955,149316,152793,156356,155486,154115,89.0,191,52593.0,25730.0,26863.0,39.3,37.7,41.2,52772.0,25811.0,26961.0,37.7,41.1,39.4,3
